yearmonth,layer,count
2023-02,A_top50,6
2023-02,B_oliveyoung_cross,3
2023-02,C_potential,12
2023-03,A_top50,58
2023-03,B_oliveyoung_cross,9
2023-03,C_potential,40
2023-04,A_top50,115
2023-04,B_oliveyoung_cross,10
2023-04,C_potential,51
2023-05,A_top50,160
2023-05,B_oliveyoung_cross,32
2023-05,C_potential,89
2023-06,A_top50,137
2023-06,B_oliveyoung_cross,173
2023-06,C_potential,100
2023-07,A_top50,207
2023-07,B_oliveyoung_cross,257
2023-07,C_potential,96
2023-08,A_top50,171
2023-08,B_oliveyoung_cross,155
2023-08,C_potential,86
2023-09,A_top50,124
2023-09,B_oliveyoung_cross,118
2023-09,C_potential,68
2023-10,A_top50,117
2023-10,B_oliveyoung_cross,110
2023-10,C_potential,53
2023-11,A_top50,141
2023-11,B_oliveyoung_cross,103
2023-11,C_potential,95
2023-12,A_top50,93
2023-12,B_oliveyoung_cross,85
2023-12,C_potential,88
2024-01,A_top50,86
2024-01,B_oliveyoung_cross,43
2024-01,C_potential,63
2024-02,A_top50,152
2024-02,B_oliveyoung_cross,60
2024-02,C_potential,54
2024-03,A_top50,184
2024-03,B_oliveyoung_cross,57
2024-03,C_potential,98
2024-04,A_top50,340
2024-04,B_oliveyoung_cross,70
2024-04,C_potential,198
2024-05,A_top50,685
2024-05,B_oliveyoung_cross,102
2024-05,C_potential,292
2024-06,A_top50,841
2024-06,B_oliveyoung_cross,110
2024-06,C_potential,345
2024-07,A_top50,781
2024-07,B_oliveyoung_cross,125
2024-07,C_potential,203
2024-08,A_top50,530
2024-08,B_oliveyoung_cross,86
2024-08,C_potential,159
2024-09,A_top50,525
2024-09,B_oliveyoung_cross,79
2024-09,C_potential,93
2024-10,A_top50,275
2024-10,B_oliveyoung_cross,50
2024-10,C_potential,176
2024-11,A_top50,437
2024-11,B_oliveyoung_cross,46
2024-11,C_potential,204
2024-12,A_top50,621
2024-12,B_oliveyoung_cross,41
2024-12,C_potential,174
2025-01,A_top50,660
2025-01,B_oliveyoung_cross,32
2025-01,C_potential,120
2025-02,A_top50,634
2025-02,B_oliveyoung_cross,32
2025-02,C_potential,122
2025-03,A_top50,552
2025-03,B_oliveyoung_cross,52
2025-03,C_potential,263
2025-04,A_top50,579
2025-04,B_oliveyoung_cross,25
2025-04,C_potential,134
2025-05,A_top50,1224
2025-05,B_oliveyoung_cross,51
2025-05,C_potential,165
2025-06,A_top50,1867
2025-06,B_oliveyoung_cross,93
2025-06,C_potential,207
2025-07,A_top50,1235
2025-07,B_oliveyoung_cross,94
2025-07,C_potential,230
2025-08,A_top50,884
2025-08,B_oliveyoung_cross,62
2025-08,C_potential,137
2025-09,A_top50,956
2025-09,B_oliveyoung_cross,58
2025-09,C_potential,158
2025-10,A_top50,807
2025-10,B_oliveyoung_cross,47
2025-10,C_potential,53
2025-11,A_top50,817
2025-11,B_oliveyoung_cross,34
2025-11,C_potential,78
2025-12,A_top50,643
2025-12,B_oliveyoung_cross,27
2025-12,C_potential,79
2026-01,A_top50,642
2026-01,B_oliveyoung_cross,48
2026-01,C_potential,157
2026-02,A_top50,613
2026-02,B_oliveyoung_cross,54
2026-02,C_potential,185
2026-03,A_top50,380
2026-03,B_oliveyoung_cross,41
2026-03,C_potential,38
