goodsNo,goodsName,brandName,price,saleRate,reviewCount,reviewScore,collect_rank,layer
3317080,포어제로 오일 컨트롤 선스틱,오브제,19800,21,1451,96,1,A_top50
3554527,비타 톤업 선크림 50mL SPF50+ PA++++,토코보,15000,40,613,96,2,A_top50
3333368,[SET] 다이브인 모이스처 선크림 60ml x 2개,토리든,42000,16,1059,98,3,A_top50
2890758,가지 클리어링 선 크림 50ml,파파레서피,22500,10,2222,98,4,A_top50
2782655,[무신사단독] 1025 독도 선크림 50ml (+클렌저 40ml),라운드랩,14900,40,2202,98,5,A_top50
2637406,어반쉐이드 쿨카밍 선스틱 SPF50+ PA++++ 20g,듀이트리,11900,50,2357,96,6,A_top50
4970901,비건 EGF 시카 워터보송 선앰플 56ml,프롬리에,19200,42,670,96,7,A_top50
4307508,[10ml 추가 증정] 레이저 UV 썬스크린 50ml+50ml,셀퓨전씨,31000,63,816,98,8,A_top50
3317081,포어제로 오일 컨트롤 선스틱 2개 세트,오브제,37700,25,573,98,9,A_top50
2496302,그린 마일드 업 선 플러스 50mL x2개+10mL증정,닥터지,34000,41,2987,98,10,A_top50
2634633,어반쉐이드 안티폴루션 선 40ml,듀이트리,11900,50,2634,96,11,A_top50
5047271,[미샤X후니언 공동개발] 글로우 스킨 틴티드 톤업선 30ml X 1개 + 글로우 스킨밤 20ml X 1개(+모던섀도우 본품 증정),미샤,29400,27,239,88,12,A_top50
3929361,[HDEX콜라보/증정기획] 액티브 워터프루프 선크림 SPF50+ PA++++ 50ml,무신사 스탠다드 뷰티,13900,44,1202,98,13,A_top50
5001769,하이드로 스웻프루프 선크림 50ml,비레디,17900,28,313,98,14,A_top50
4069040,1번 청초 진정맑은 물막선크림 50ml SPF50+ PA++++,넘버즈인,23400,10,267,98,15,A_top50
5105948,블러 피니쉬 선쿠션 SPF50+ PA++++ (2종 택1),토코보,20400,15,377,94,16,A_top50
4546851,선글로스 글로우업 무기자차 선크림 오리지널 50ml,디마프,32000,16,211,96,17,A_top50
4949127,시카 수분 선세럼 SPF50+/PA++++ 50mL,벤튼,16900,40,329,98,18,A_top50
4970857,5GF 톤업 선 앰플 비비 60g [4종 택1],프롬리에,24900,27,254,94,19,A_top50
4942385,글루타치온좀 CC 선크림 토닝 튜브 SPF50+ PA++++ 50ml(+선크림 샘플 키트 증정),아비브,21250,15,391,94,20,A_top50
5047269,[미샤X후니언 공동개발] 글로우 스킨 틴티드 톤업선 30ml,미샤,22400,20,166,86,21,A_top50
3316501,더마UV365 장벽수분 무기자차 선크림 40ml,에스트라,29450,5,722,98,22,A_top50
1654903,엔조이 슈퍼 마일드 선 에센스 50ml 2개,싸이닉,17880,15,1054,98,23,A_top50
2344405,잡티 토닝 썬스크린 50ml + 50ml,셀퓨전씨,32000,59,567,98,24,A_top50
4343472,마스터즈 에어리치 선스틱 14g,에이에이치씨,18200,17,575,98,25,A_top50
2637403,어반쉐이드 커버앤핏 선쿠션 SPF50+ PA++++ 14g,듀이트리,13500,44,846,94,26,A_top50
3973979,[2개] 유브이 디펜스 노세범 선크림 50ml,메이크프렘,39100,19,645,98,27,A_top50
5006341,에브리데이 선블록  SPF50+PA++++ 200ml,더마비,22000,0,401,96,28,A_top50
2959830,[SET] 다이브인 무기자차 마일드 선크림 60ml x 2개,토리든,43000,14,1406,98,29,A_top50
3312904,아쿠아 365 유브이 선크림 40ml,에스네이처,18000,10,955,98,30,A_top50
4912083,스킨핏 미네랄 무기자차 톤업 선크림 SPF50+/PA++++ 50mL,벤튼,14000,30,170,98,31,A_top50
5154124,마데카소사이드 수분 선세럼 흔적 리페어 50g,메디힐,19200,13,382,98,32,A_top50
3962862,풀 초록35 톤업 선쿠션 세트 (본품+리필),테,35200,38,303,96,33,A_top50
2637385,어반 쉐이드 커버앤핏 SPF50+ PA++++ 40ml,듀이트리,12500,48,640,94,34,A_top50
2496324,브라이트닝 업 선 플러스 50ml X 2개+그린마일드 선크림 10mL증정,닥터지,34000,47,1261,98,35,A_top50
5106655,스킨톤 선파우더 (SPF 50+ / PA++++),두잉왓,14900,32,203,94,36,A_top50
4855219,히알루론산 프레쉬 선 세럼 50ml (증정: 어니언 톤업 선 10ml),이즈앤트리,16900,23,264,96,37,A_top50
3910075,풀 초록 35 _데일리 무기자차 톤업 선쿠션 리필 14g,테,19950,5,128,96,38,A_top50
3554409,코튼 소프트 선스틱 19g SPF50+ PA++++,토코보,18700,15,587,96,39,A_top50
4701719,레이저 UV 썬스크린 50ml,셀퓨전씨,16000,62,1178,98,40,A_top50
5082233,쌀 세라 수분 선크림 50ml,풀리,17900,22,240,98,41,A_top50
4673454,아쿠아티카 썬스크린 35ml 2pack,셀퓨전씨,12900,54,255,98,42,A_top50
3262900,톤업 노세범 선스크린 EX SPF 50+ PA4+ 60mL 2개,이니스프리,24000,50,749,96,43,A_top50
4998464,바세린 모이스처 선크림 페이스 앤 바디 150ML,애경 바세린,9890,66,224,98,44,A_top50
5837298,[2pack] 메디힐 마데카소사이드 수분 선세럼 흔적 리페어 더블 기획세트,메디힐,22900,34,382,98,45,A_top50
4343440,마스터즈 아쿠아리치 선크림 듀오세트,에이에이치씨,20900,13,231,98,46,A_top50
3004059,[15ml 추가증정] 베리 수분 선크림 50ml SPF50+ PA++++,스킨푸드,22800,5,1058,96,47,A_top50
4249891,인조이 더 선 UV 선크림 50ml,샤이샤이샤이,28800,10,257,98,48,A_top50
4990141,세라 수분 장벽 선크림 50MLX 2개+[증정]익스트림크림라이트25ML+잡티세럼10ML+클렌징폼15ML,리얼베리어,29900,47,149,98,49,A_top50
4243218,울트라 라이트 인비저블 선세럼 50ml x 2개,코스알엑스,24000,20,270,98,50,A_top50
3177639,블루 수분 선크림 50ml SPF 50 PA++++,비레디,21250,15,1640,98,51,B_oliveyoung_cross
5106675,스킨톤 레이어링 선스틱 (SPF 50+ / PA++++),두잉왓,15900,36,115,96,52,B_oliveyoung_cross
4988633,워터뱅크 유브이 베리어 선크림 50ml,라네즈,24920,11,93,98,96,B_oliveyoung_cross
5095032,데일리 라이트 핏 선 스프레이 150ml,다슈,11900,52,92,96,108,B_oliveyoung_cross
