feature,importance
text_len,0.103546113919482
word_count,0.0751828058044974
is_first_review,0.0626271990741849
발림성_score,0.0539976180336168
tfidf_촉촉,0.0365121580422601
tfidf_ 촉,0.0318225093387303
tfidf_ 촉촉,0.0290519165083219
tfidf_을 ,0.0283729129800297
tfidf_ 수,0.02469733549523
자극_score,0.0246486839697708
tfidf_ 발,0.0221430884502812
끈적임_score,0.0156828618960226
tfidf_ 없,0.0156755831785192
has_photo,0.0138503539621409
tfidf_ 그,0.012127725974731
tfidf_이 ,0.011587043176543
tfidf_고 ,0.0105069138287718
tfidf_ 같,0.0103522896249104
tfidf_는 ,0.0100328182202894
tfidf_은 ,0.0099754559838797
tfidf_요 ,0.0081568942319005
tfidf_ 발림,0.0081065107298942
tfidf_서 ,0.0078654917865523
tfidf_데 ,0.0078599391824695
tfidf_발림,0.0077723132865166
tfidf_ 있,0.0076586372957193
tfidf_게 ,0.0075704786512293
tfidf_한 ,0.0074047632627138
tfidf_ 아,0.0072102850727702
tfidf_가 ,0.0072040185666128
tfidf_림성,0.0071988455322766
tfidf_에 ,0.0071927531493031
tfidf_ 사용,0.0068043542429307
tfidf_도 ,0.0066952709291906
tfidf_ 좋,0.0066692198902006
tfidf_ 사,0.006005311106101
tfidf_ 가,0.0057883822392813
tfidf_피부,0.0057249189949557
tfidf_다 ,0.0057096977224268
tfidf_ 바,0.0056760407321926
tfidf_사용,0.005574270650181
tfidf_는데,0.0054503898539245
tfidf_아요 ,0.0053512150779661
tfidf_지 ,0.0053441097710788
tfidf_ 피,0.0053157176051879
tfidf_바르,0.0051801015594259
tfidf_면 ,0.0051096455977297
tfidf_ 선,0.0050888605760434
tfidf_ 피부,0.0050587770161544
tfidf_으로,0.0049826501233807
tfidf_만 ,0.0049538821797698
tfidf_로 ,0.004852417178389
tfidf_크림,0.0047523769474277
tfidf_ 잘,0.0047385592602299
tfidf_ 다,0.0046091062186878
tfidf_ 자,0.0045611792436187
tfidf_어요 ,0.0045546365766154
tfidf_니다 ,0.0045482660322755
tfidf_어서 ,0.0045295338291374
tfidf_니다,0.0045059302147451
tfidf_ 제,0.0044295660064045
tfidf_는데 ,0.0043890902695967
tfidf_ 않,0.0043724099527963
tfidf_해서 ,0.0043393353334546
tfidf_어서,0.0043190218991101
tfidf_하고 ,0.0042814841744912
tfidf_ 잘 ,0.0042097725013866
tfidf_하고,0.0041719987936972
tfidf_하게,0.0041454177292229
tfidf_ 이,0.0041423108828562
tfidf_아요,0.0040926671661401
tfidf_어요,0.0040519561030105
tfidf_좋아,0.0040375527171427
tfidf_ 좋아,0.0040166448258653
tfidf_ 선크,0.0038988867807307
tfidf_ 바르,0.0038420357906349
tfidf_ 쓰,0.0038415417901791
tfidf_해서,0.0038414223627914
tfidf_하게 ,0.003836067833675
tfidf_잘 ,0.0037954524231929
tfidf_선크,0.0036621931079943
tfidf_선크림,0.0034327239897581
tfidf_라 ,0.0033577640436209
tfidf_림 ,0.003344309051571
tfidf_구매,0.003251412836033
tfidf_같아,0.0032500195984531
tfidf_ 선크림,0.0031652213927728
tfidf_습니다,0.0031461849681365
tfidf_좋아요,0.0030916068805371
tfidf_기 ,0.0030490340661903
tfidf_습니다 ,0.0030108302593782
tfidf_제품,0.003004252034465
tfidf_좋아요 ,0.0029848101327485
tfidf_ 구,0.0029532165302054
tfidf_ 구매,0.0028675698122163
tfidf_ 좋아요,0.0027179531259515
tfidf_ 제품,0.0024948925087338
tfidf_습니,0.0023880068112813
tfidf_네요,0.002256576000349
tfidf_크림 ,0.0022436152524415
tfidf_네요 ,0.0021224918746171
tfidf_무 ,0.0019028092167483
tfidf_ 너,0.0018753528224878
tfidf_너무,0.0018326150066447
tfidf_너무 ,0.0016165219099112
tfidf_ 너무,0.0015532305406888
grade,0.0013382551924217
tfidf_ 너무 ,0.0011905793976158
skin_oily,0.0008785022141915
skin_combination,0.0006818520706064
skin_dry,0.0006485009031309
skin_sensitive,0.0005147405398167
like_count,0.0003885809924775
,0.0
comment_count,0.0
