feature,importance
is_first_review,0.0232530409534221
발림성_score,0.0215300009816966
text_len,0.0161806912725259
word_count,0.0117223482029558
tfidf_촉촉,0.0096729093454612
자극_score,0.0085996510327322
tfidf_ 발,0.0077482871040945
tfidf_ 촉,0.0074288922307169
tfidf_ 촉촉,0.007187347623398
has_photo,0.0068607102148219
tfidf_ 수,0.0050362022473224
끈적임_score,0.004856990537068
tfidf_을 ,0.0046175265913988
tfidf_ 없,0.0036142193987385
tfidf_림성,0.002655926943011
tfidf_ 발림,0.0025887681554503
tfidf_이 ,0.0025555310914395
tfidf_발림,0.0023923986043236
tfidf_고 ,0.0021421463772494
tfidf_ 같,0.0018065207545725
tfidf_ 그,0.0016694903462768
tfidf_데 ,0.0016623985584682
tfidf_ 가,0.0016488299354636
tfidf_ 아,0.001590495751756
tfidf_ 사용,0.0015526245321008
tfidf_은 ,0.0014366095728646
tfidf_는 ,0.0011947029004595
tfidf_만 ,0.0011585696446672
tfidf_요 ,0.0011444232282513
tfidf_해서 ,0.001097357613793
tfidf_가 ,0.0010349105541843
tfidf_하게,0.0009738039122042
tfidf_게 ,0.0009545721480048
tfidf_ 사,0.0009374355432421
tfidf_서 ,0.0008996698732709
tfidf_하게 ,0.0008961361421022
tfidf_면 ,0.0008658265577618
tfidf_ 있,0.0008618593635874
tfidf_ 다,0.0008457206075904
tfidf_는데,0.0008454631566421
tfidf_사용,0.0008304262973288
tfidf_해서,0.0007906008994749
tfidf_에 ,0.0007665434462698
tfidf_하고 ,0.0007602807544762
tfidf_도 ,0.0007395518945859
tfidf_ 피,0.0007374368594918
tfidf_ 좋,0.0007349439979575
tfidf_한 ,0.0007314109402144
tfidf_ 않,0.0007135093982001
tfidf_ 바,0.0006260040874108
tfidf_어서 ,0.0006140443098
tfidf_피부,0.0006047557692687
tfidf_ 피부,0.0006013217595494
tfidf_니다,0.0005714378523065
tfidf_ 바르,0.0005590037906437
tfidf_크림,0.0005534366258591
tfidf_어서,0.0005400597068339
tfidf_는데 ,0.0005269501465356
tfidf_ 구,0.0005252345375472
tfidf_로 ,0.0005187888210694
tfidf_니다 ,0.0005156573763074
tfidf_ 자,0.0004987743529784
tfidf_으로,0.0004795838723945
tfidf_하고,0.0004731496407145
tfidf_지 ,0.0004700638447767
grade,0.0004650470797393
tfidf_어요 ,0.0004624722382357
tfidf_같아,0.000460344338413
tfidf_ 잘,0.0004389836708398
tfidf_ 좋아,0.0004375640908978
tfidf_좋아요 ,0.0004364708354964
tfidf_ 제,0.000423656742415
tfidf_아요 ,0.0004193658566326
tfidf_좋아,0.0004179783782245
tfidf_잘 ,0.0004109854235604
tfidf_다 ,0.000408442539967
tfidf_ 선,0.0004065500513113
tfidf_아요,0.0004054731984256
tfidf_ 잘 ,0.0004029840328533
tfidf_ 구매,0.000396837082484
tfidf_구매,0.0003965439119109
tfidf_어요,0.0003929599237706
tfidf_ 쓰,0.0003924480935556
tfidf_좋아요,0.000383726542024
tfidf_네요,0.0003763896117292
tfidf_바르,0.0003630214638849
tfidf_ 선크림,0.0003559065223513
tfidf_라 ,0.0003517427835233
tfidf_ 이,0.0003511496591052
tfidf_습니다,0.0003462450449228
tfidf_습니다 ,0.0003446795657951
tfidf_ 좋아요,0.0003375344631148
tfidf_네요 ,0.0003371409340277
tfidf_ 선크,0.0003336494791138
tfidf_선크림,0.0003199465692156
tfidf_제품,0.0003011273070994
tfidf_림 ,0.0002903099322158
tfidf_선크,0.0002691589420097
tfidf_기 ,0.0002616208353962
tfidf_ 제품,0.0002591234479238
tfidf_ 너,0.0002208443331186
tfidf_무 ,0.000210015019001
tfidf_너무,0.0001956755630162
tfidf_습니,0.0001905068160947
skin_oily,0.0001686483088868
tfidf_크림 ,0.0001529422195523
tfidf_너무 ,0.0001475345936605
tfidf_ 너무,0.0001333062874863
tfidf_ 너무 ,0.0001110662981595
skin_combination,9.968947657846343e-05
skin_dry,9.768143014791164e-05
skin_sensitive,9.42019762596988e-05
like_count,2.938530601118925e-05
,0.0
comment_count,0.0
